PERMNO,ticker,company,sector,industry,country
77462,M,MACYS INC,Consumer Cyclical,Department Stores,United States
27828,HPQ,H P INC,Technology,Computer Hardware,United States
45911,SWKS,SKYWORKS SOLUTIONS INC,Technology,Semiconductors,United States
81055,COF,CAPITAL ONE FINANCIAL CORP,Financial Services,Credit Services,United States
13604,BERY,BERRY GLOBAL GROUP INC,Consumer Cyclical,Packaging & Containers,United States
28804,ALK,ALASKA AIRGROUP INC,Industrials,Airlines,United States
86868,GS,GOLDMAN SACHS GROUP INC,Financial Services,Capital Markets,United States
85035,QRVO,QORVO INC,Technology,Semiconductors,United States
89327,ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Cyclical,Auto & Truck Dealerships,United States
15456,FL,FOOT LOCKER INC,Consumer Cyclical,Apparel Retail,United States
77496,MHK,MOHAWK INDUSTRIES INC,Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States
84372,VYX,N C R VOYIX CORP,Technology,Information Technology Services,United States
15071,SYNH,SYNEOS HEALTH INC,Healthcare,Biotechnology,United States
90520,CE,CELANESE CORP DEL,Basic Materials,Chemicals,United States
18428,DOW,DOW INC,Basic Materials,Chemicals,United States
15408,KHC,KRAFT HEINZ CO,Consumer Defensive,Packaged Foods,United States
66157,USB,U S BANCORP DEL,Financial Services,Banks - Regional,United States
12641,AL,AIR LEASE CORP,Industrials,Rental & Leasing Services,United States
12473,KNX,KNIGHT SWIFT TRANSPORT HDLGS INC,Industrials,Trucking,United States
18062,ELAN,ELANCO ANIMAL HEALTH INC,Healthcare,Drug Manufacturers - Specialty & Generic,United States
60442,PNC,P N C FINANCIAL SERVICES GRP INC,Financial Services,Banks - Regional,United States
70519,C,CITIGROUP INC,Financial Services,Banks - Diversified,United States
89353,JBLU,JETBLUE AIRWAYS CORP,Industrials,Airlines,United States
89290,SYNA,SYNAPTICS INC,Technology,Semiconductors,United States
59459,TRV,TRAVELERS COMPANIES INC,Financial Services,Insurance - Property & Casualty,United States
42585,SJM,SMUCKER J M CO,Consumer Defensive,Packaged Foods,United States
38156,WMB,WILLIAMS COS,Energy,Oil & Gas Midstream,United States
