"Stock_PERMNO","nameenddt","ticker","comnam"
20618,"19720","CRS","CARPENTER TECHNOLOGY CORP"
17919,"19720","EPRT","ESSENTIAL PROPERTIES RLTY TR INC"
16076,"19720","GMS","G M S INC"
90162,"19720","GNW","GENWORTH FINANCIAL INC"
85427,"19720","GPI","GROUP 1 AUTOMOTIVE INC"
88615,"19720","ITGR","INTEGER HOLDINGS CORP"
79839,"19720","ITRI","ITRON INC"
92729,"19720","JBT","JOHN BEAN TECHNOLOGIES CORP"
79770,"19720","LXP","L X P INDUSTRIAL TRUST"
14503,"19720","OUT","OUTFRONT MEDIA INC"
85020,"19720","PPBI","PACIFIC PREMIER BANCORP INC"
18142,"19720","REZI","RESIDEO TECHNOLOGIES INC"
35991,"19720","ROG","ROGERS CORP"
93035,"19720","SEM","SELECT MEDICAL HOLDINGS CORP"
91855,"19720","SFNC","SIMMONS 1ST NATIONAL CORP"
80034,"19720","SHOO","MADDEN STEVEN LTD"
78927,"19720","SITC","SITE CENTERS CORP"
18011,"19720","SONO","SONOS INC"
13748,"19720","TPH","TRI POINTE HOMES INC"
12477,"19720","WD","WALKER & DUNLOP INC"
10892,"19720","WSFS","WSFS FINANCIAL CORP"
